titre,annee,realisateur,note_presse,note_spectateurs,url
Vice Versa de Pete Docter et Ronaldo Del Carmen,2015,Pete Docter,4.7,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=196960.html
Rush de Ron Howard,2013,Ron Howard,4.1,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=195370.html
Au Revoir Là-haut de Albert Dupontel,2017,Albert Dupontel,3.9,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=230699.html
Le Mans 66 de James Mangold,2019,James Mangold,3.8,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=262396.html
La Couleur des sentiments de Tate Taylor,2011,Tate Taylor,2.6,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=176673.html
Le Crime était presque parfait de Alfred Hitchcock,1954,Alfred Hitchcock,4.4,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=700.html
Toy Story de John Lasseter,1995,John Lasseter,4.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=14264.html
Sátántangó (Le Tango de Satan) - Partie 1 de Béla Tarr et Agnes Hranitzky,1994,Béla Tarr,4.3,,https://www.allocine.fr/film/fichefilm_gen_cfilm=15349.html
Sur la route de Madison de Clint Eastwood,1995,Clint Eastwood,4.6,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=12994.html
Le Gouffre aux chimères de Billy Wilder,1951,Billy Wilder,4.3,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=87253.html
Dragons de Chris Sanders et Dean DeBlois,2010,Chris Sanders,3.9,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=123534.html
Les Figures de l'ombre de Theodore Melfi,2016,Theodore Melfi,3.3,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=219070.html
Taxi Driver de Martin Scorsese,1976,Martin Scorsese,4.8,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=308.html
Dallas Buyers Club de Jean-Marc Vallée,2013,Jean-Marc Vallée,3.9,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=137097.html
Inglourious Basterds de Quentin Tarantino,2009,Quentin Tarantino,3.7,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=60208.html
Jurassic Park de Steven Spielberg,1993,Steven Spielberg,3.4,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=8488.html
Togo de Ericson Core,2019,Ericson Core,4.3,,https://www.allocine.fr/film/fichefilm_gen_cfilm=243860.html
Boulevard du crépuscule de Billy Wilder,1950,Billy Wilder,4.4,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=836.html
Hamilton de Thomas Kail,2020,Thomas Kail,4.3,,https://www.allocine.fr/film/fichefilm_gen_cfilm=253979.html
"America, America de Elia Kazan",1963,Elia Kazan,4.3,,https://www.allocine.fr/film/fichefilm_gen_cfilm=70.html
Parasite - Version noir et blanc de Bong Joon Ho,2019,Bong Joon Ho,4.3,,https://www.allocine.fr/film/fichefilm_gen_cfilm=280757.html
La Grande évasion de John Sturges,1963,John Sturges,3.8,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=38827.html
Les Enfants du Paradis de Marcel Carné,1945,Marcel Carné,5.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=182.html
The Father de Florian Zeller,2020,Florian Zeller,3.9,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=273981.html
Mustang de Deniz Gamze Ergüven,2015,Deniz Gamze Ergüven,4.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=228825.html
Le Sommet des Dieux de Patrick Imbert,2021,Patrick Imbert,4.2,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=269946.html
L'Impasse de Brian De Palma,1993,Brian De Palma,4.8,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=9530.html
Rendez-vous de Ernst Lubitsch,1940,Ernst Lubitsch,4.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=679.html
